"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"JP","0",1.9,49026.3153953188,49453.8241214009
"TA","0",1.9,35284.1532829998,35279.5749765993
"BS","0",1.9,67329.4407201134,67399.3583391275
"Other","0",1.9,26607.1910025011,26535.1142008655
"All","0",2,185966.078399314,185272.651165191
"JP","0",2,48994.6670683082,49452.9516268952
"TA","0",2,35286.2863145208,35279.6697505751
"BS","0",2,67302.2235369426,67394.6150908091
"Other","0",2,26602.4226278193,26529.2357694659
"All","0.1",0,185973.736246133,184569.310671549
"JP","0.1",0,49014.8905545894,49404.4395121663
"TA","0.1",0,35150.5887375097,35190.1231946931
"BS","0.1",0,67053.3184588974,67174.0863256366
"Other","0.1",0,26534.2795729154,26423.3080476512
"All","0.1",0.1,185974.060810661,184515.312311491
"JP","0.1",0.1,49001.782145143,49404.9929278377
"TA","0.1",0.1,35153.5565794119,35183.9174875959
"BS","0.1",0.1,67033.9674073413,67145.8165244758
"Other","0.1",0.1,26529.677877743,26414.4356987234
"All","0.1",0.2,185974.144330827,184460.378392733
"JP","0.1",0.2,48986.8147778814,49405.4944852866
"TA","0.1",0.2,35157.1501322481,35177.6253282559
"BS","0.1",0.2,67012.2278931078,67115.0606384001
"Other","0.1",0.2,26524.7752444599,26404.4797588104
"All","0.1",0.3,185973.839684353,184404.872052833
"JP","0.1",0.3,48969.6405070658,49405.9006999211
"TA","0.1",0.3,35161.4621509596,35171.359290335
"BS","0.1",0.3,66987.720153019,67082.0097755847
"Other","0.1",0.3,26519.61264947,26393.3625193649
"All","0.1",0.4,185972.939677598,184349.267506338
"JP","0.1",0.4,48949.8606240134,49406.1737265
"TA","0.1",0.4,35166.5915880817,35165.2473727244
"BS","0.1",0.4,66960.0818967167,67047.0829732951
"Other","0.1",0.4,26514.2457076592,26381.0354119762
"All","0.1",0.5,185971.157741824,184294.165455302
"JP","0.1",0.5,48927.0377273116,49406.283496678
"TA","0.1",0.5,35172.6334602671,35159.4284611525
"BS","0.1",0.5,66929.0292353833,67010.9947622667
"Other","0.1",0.5,26508.7418889067,26367.4896384272
"All","0.1",0.6,185968.106013964,184240.306751502
"JP","0.1",0.6,48900.7258031136,49406.2092080468
"TA","0.1",0.6,35179.6635820208,35154.047155831
"BS","0.1",0.6,66894.4432929251,66974.8082232622
"Other","0.1",0.6,26503.1760003451,26352.7694417822
"All","0.1",0.7,185963.273375609,184188.582328999
"JP","0.1",0.7,48870.5261866493,49405.9404034454
"TA","0.1",0.7,35187.7188940756,35149.2484976723
"BS","0.1",0.7,66856.4782615019,66939.9466335884
"Other","0.1",0.7,26497.6243588478,26336.9882275202
"All","0.1",0.8,185956.008579219,184140.034938056
"JP","0.1",0.8,48836.1752211646,49405.4779140854
"TA","0.1",0.8,35196.7751594207,35145.1727688014
"BS","0.1",0.8,66815.6744383389,66908.1302847698
"Other","0.1",0.8,26492.1588825461,26320.3464855027
"All","0.1",0.9,185945.516746305,184095.845538468
"JP","0.1",0.9,48797.663360666,49404.8347611093
"TA","0.1",0.9,35206.7254597117,35141.9501222915
"BS","0.1",0.9,66773.0431103471,66881.2116092085
"Other","0.1",0.9,26486.8429213314,26303.148494782
"All","0.1",1,185930.880291618,184057.296078633
"JP","0.1",1,48755.3730012561,49404.0367748325
"TA","0.1",1,35217.3654725764,35139.6946287292
"BS","0.1",1,66730.0759957081,66860.9106013776
"Other","0.1",1,26481.7301835849,26285.8123159968
