"Model","Formula","AIC","deltaAIC","MarR2","ConR2","Species"
"ReducedModel","logY~Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21765.2927228173,351.665420542733,0.619890787829879,0.898611354787989,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd",21497.5537301661,83.9264278915507,0.709817912117979,0.903616806579228,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",21398.514181808,-15.1131204665144,0.726883611937076,0.909037685130894,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd",21476.9130220018,63.2857197272242,0.726475333732019,0.909653966054706,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd",21532.7071807176,119.079878443081,0.720583725132623,0.906365469881008,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd",21439.2542397714,25.6269374968106,0.722912469558267,0.907694536215609,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd",21704.334265485,290.706963210454,0.745826264186175,0.935279635801776,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd",21581.3916585759,167.764356301341,0.701697435910014,0.898281938487125,"TA"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd",21417.3273810956,3.7000788210571,0.712720448224185,0.908202669911855,"TA"
"ReducedModel","logY~Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:logHctd:Dominancectd",21762.6664215773,349.039119302761,0.620267447249982,0.897869962073619,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd",21485.2122932966,71.5849910220859,0.709813822060345,0.903620436800263,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logDBHctd:logHctd:Dominancectd",21464.5939837568,50.9666814822413,0.726555920447464,0.909691231578877,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",21520.8522368475,107.224934572921,0.720322341263882,0.906319603203824,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",21427.0142408388,13.3869385642611,0.722747777953316,0.907668087463705,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",21692.181202798,278.553900523504,0.746051495364172,0.935357461469942,"TA"
"ReducedModel","logY~logDBHctd+Yearctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",21570.9567878521,157.329485577604,0.700396685099148,0.898214377784049,"TA"
"ReducedModel","logY~logDBHctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",21405.1257317488,-8.50157052573923,0.713022896396088,0.908127904531521,"TA"
"ReducedModel","logY~Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd",21752.1882532766,338.560951002059,0.620007178460876,0.897695783122525,"TA"
"ExpandedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+logDBHctd:Yearctd",21408.2587845322,-5.36851774236129,0.725543945791783,0.908494286735058,"TA"
"ExpandedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+logDBHctd:logHctd",21405.0977961318,-8.52950614278961,0.726701354139648,0.909037585758219,"TA"
"ExpandedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd",21410.0955098696,-3.53179240498866,0.724593563458237,0.909152604920262,"TA"
"ExpandedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+logDBHctd:Yearctd:logHctd",21409.7364624055,-3.89083986902551,0.727410412076088,0.909099985266079,"TA"
"ExpandedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+logDBHctd:Yearctd:Dominancectd",21411.1494913126,-2.47781096190738,0.728217863251741,0.908841097738769,"TA"
"ExpandedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Dominancectd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:logHctd:Dominancectd+Yearctd:logHctd:Dominancectd",21411.6207410537,-2.00656122081273,0.726908837770091,0.908962641446152,"TA"
"Full","FULL",40473.2325731096,8.62908591737505,0.601405304211629,0.884690245061338,"BS"
"BaseModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:logHctd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:Yearctd:Dominancectd+Yearctd:logHctd:Dominancectd",40464.6034871922,0,0.600537611379025,0.884132375409784,"BS"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:logHctd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+logDBHctd:Yearctd:Dominancectd",40481.786129424,17.1826422318409,0.598706164193941,0.884396807586608,"BS"
"ReducedModel","logY~logDBHctd+Yearctd+logHctd+Dominancectd+logDBHctd:Yearctd+logDBHctd:logHctd+logDBHctd:Dominancectd+Yearctd:logHctd+Yearctd:Dominancectd+logHctd:Dominancectd+logDBHctd:Yearctd:logHctd+Yearctd:logHctd:Dominancectd",40470.175512524,5.57202533181407,0.599384918389664,0.88391366493945,"BS"
