"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"BS","1.5",0,44713.7800148793,48180.4389439493
"Other","1.5",0,19070.01820417,18729.3801394318
"All","1.5",0.2,133364.784110003,149887.627996069
"JP","1.5",0.2,35321.364443365,42224.7262265985
"TA","1.5",0.2,24114.0035280034,28040.5328908116
"BS","1.5",0.2,44631.9033780379,48197.6731454222
"Other","1.5",0.2,19042.3000211127,18759.012666115
"All","1.5",0.4,133050.045530942,150321.196041316
"JP","1.5",0.4,35229.6610329532,42423.4385328015
"TA","1.5",0.4,24091.8611153855,28166.8215986046
"BS","1.5",0.4,44539.1737706941,48287.5976437684
"Other","1.5",0.4,19029.454053027,18804.1344544713
"All","1.5",0.6,132789.384024604,150849.297764524
"JP","1.5",0.6,35125.6417573759,42666.6312507011
"TA","1.5",0.6,24085.1191401384,28320.690819382
"BS","1.5",0.6,44433.9234240403,48449.8397012406
"Other","1.5",0.6,19033.8617967504,18866.3687850638
"All","1.5",0.8,132602.227282476,151468.328483891
"JP","1.5",0.8,35009.6339310132,42946.9373449396
"TA","1.5",0.8,24102.7055762667,28502.675726279
"BS","1.5",0.8,44317.5865915936,48684.5251147555
"Other","1.5",0.8,19057.6393125536,18946.7689849905
"All","1.5",1,132516.065420932,152175.66827812
"JP","1.5",1,34886.9721781762,43256.4248130296
"TA","1.5",1,24158.7191492608,28712.5674272497
"BS","1.5",1,44198.2080504168,48993.3514734008
"Other","1.5",1,19102.6706534017,19045.9554052922
"All","1.5",1.2,132570.747155275,152969.710976132
"JP","1.5",1.2,34772.777694918,43587.1457647503
"TA","1.5",1.2,24274.2766823309,28949.0880545697
"BS","1.5",1.2,44093.8015437468,49379.4139965124
"Other","1.5",1.2,19170.9838600099,19164.3506646824
"All","1.5",1.4,132818.696599968,153848.648986324
"JP","1.5",1.4,34695.2384552424,43931.4315908052
"TA","1.5",1.4,24476.4908381649,29209.8936821957
"BS","1.5",1.4,44032.9925214074,49845.3892684867
"Other","1.5",1.4,19265.0664022592,19302.2392462993
"All","1.5",1.6,133316.174145606,154808.487806005
"JP","1.5",1.6,34692.6330153832,44281.9642370977
"TA","1.5",1.6,24791.52994945,29491.6930752546
"BS","1.5",1.6,44050.9794933152,50391.0073323575
"Other","1.5",1.6,19387.5877303915,19459.5649787674
"All","1.5",1.8,134106.609045456,155841.302487213
"JP","1.5",1.8,34802.5846447645,44631.8696484029
