"Species","sizeWeight","disWeight","HAIC","IntraHAIC","InterHAIC"
"Other species","1.9",1.1,19667.6127879571,21713.1512807909,21447.9454438987
"All species","1.9",1.2,149282.206981498,156789.453697462,167857.496715998
"Jack pine","1.9",1.2,39592.2777983952,40232.2884230525,45626.3256434924
"Trembling aspen","1.9",1.2,29212.2778533954,31632.7534089919,34250.3485879756
"Black spruce","1.9",1.2,58353.0493080458,59470.5399716124,64373.6747002598
"Other species","1.9",1.2,19685.4965212563,21720.0173805703,21432.3358106837
"All species","1.9",1.3,149321.85610463,156770.505963248,167807.010818146
"Jack pine","1.9",1.3,39577.5765240133,40218.5865524116,45633.601902632
"Trembling aspen","1.9",1.3,29253.7339467772,31637.3219830649,34227.6122205231
"Black spruce","1.9",1.3,58357.8065781422,59490.6914606301,64355.0359543478
"Other species","1.9",1.3,19713.5474386079,21736.2222475169,21421.6606751497
"All species","1.9",1.4,149414.965997652,156825.071587651,167770.220716362
"Jack pine","1.9",1.4,39578.2718919511,40219.0905612878,45641.7334275385
"Trembling aspen","1.9",1.4,29322.756906622,31661.6366023484,34207.9542911749
"Black spruce","1.9",1.4,58376.8732709728,59543.0989269032,64342.2801701635
"Other species","1.9",1.4,19753.2616835668,21761.9711407772,21416.623298812
"All species","1.9",1.5,149573.146503119,156962.467269731,167748.538479259
"Jack pine","1.9",1.5,39598.3117038489,40237.031760357,45650.7332964566
"Trembling aspen","1.9",1.5,29424.0244805609,31708.5677739487,34191.9302494821
"Black spruce","1.9",1.5,58413.9199077405,59632.0085583613,64335.9365343001
"Other species","1.9",1.5,19805.7630022492,21797.0962109232,21417.8657540404
"All species","1.9",1.6,149806.246247959,157188.463879412,167743.264821296
"Jack pine","1.9",1.6,39640.8818377794,40274.9085246328,45660.6097533576
"Trembling aspen","1.9",1.6,29560.4604341846,31779.7708956966,34180.0799983882
"Black spruce","1.9",1.6,58472.3448638045,59759.9986306895,64336.4818316659
"Other species","1.9",1.6,19871.6387334308,21841.0449552788,21425.918860286
"All species","1.9",1.7,150121.008788625,157504.222631592,167755.495857685
"Jack pine","1.9",1.7,39707.9141427717,40334.1146569729,45671.3578532723
"Trembling aspen","1.9",1.7,29732.4803949656,31875.2815607218,34172.8937525624
"Black spruce","1.9",1.7,58554.880624818,59927.4481862827,64344.3056417036
"Other species","1.9",1.7,19950.8307552199,21892.9132524331,21441.1559064608
"All species","1.9",1.8,150520.068753998,157905.883199218,167786.036100504
"Jack pine","1.9",1.8,39799.7748139638,40414.7295542575,45682.9520512079
"Trembling aspen","1.9",1.8,29937.6745253521,31993.3837703378,34170.7768677949
"Black spruce","1.9",1.8,58663.2504701577,60132.326032846,64359.676555586
"Other species","1.9",1.8,20042.6060630634,21951.5195325029,21463.7569241675
"All species","1.9",1.9,151001.517753793,158384.921108139,167835.328140598
"Jack pine","1.9",1.9,39915.2136128826,40515.5189153078,45695.3412954885
"Trembling aspen","1.9",1.9,30171.0493688734,32130.7989392753,34174.0170813061
"Black spruce","1.9",1.9,58797.9450802276,60370.3710949232,64382.7141322671
"Other species","1.9",1.9,20145.615923393,22015.5069750156,21493.6886252288
"All species","1.9",2,151559.122410018,158929.176804256,167903.407302985
"Jack pine","1.9",2,40051.5760527253,40634.1350535671,45708.4473815283
"Trembling aspen","1.9",2,30425.7526494349,32283.1405067919,34182.7576988583
"Black spruce","1.9",2,58958.1604677831,60635.618673324,64413.3711538787
"Other species","1.9",2,20258.0322669126,22083.45467942,21530.7025366688
"All species","2",0,149993.363119937,159119.697336919,169109.462200843
"Jack pine","2",0,39982.2512250464,40616.5914538146,45597.3068370862
"Trembling aspen","2",0,29445.1653478837,32096.5231034613,34616.7744801565
"Black spruce","2",0,58574.3301814854,60141.7087126946,64895.7003566493
"Other species","2",0,19746.8198193645,22002.7303081916,21774.0815205896
"All species","2",0.1,149934.226349642,158892.049609888,168977.932802131
"Jack pine","2",0.1,39961.2580873938,40592.5924807651,45593.7722049125
"Trembling aspen","2",0.1,29424.8919593121,32053.1540609542,34586.1683647827
"Black spruce","2",0.1,58556.8343395278,60070.7793132534,64840.2468002952
"Other species","2",0.1,19734.7830924277,21963.8848577282,21741.241025559
"All species","2",0.2,149871.230312425,158659.600858722,168849.481951266
"Jack pine","2",0.2,39937.9749391215,40566.6522750687,45591.1131492809
"Trembling aspen","2",0.2,29403.3956164097,32008.6926308095,34555.1421751634
"Black spruce","2",0.2,58538.3482803872,59998.6024520875,64786.2993224541
"Other species","2",0.2,19722.3364695159,21925.1447938888,21708.2106136712
"All species","2",0.3,149804.395095629,158423.387282512,168724.545071634
"Jack pine","2",0.3,39912.1883883786,40538.5887000181,45589.3563989907
"Trembling aspen","2",0.3,29380.7156519813,31963.2226692953,34523.792295728
"Black spruce","2",0.3,58518.8258236346,59925.4977709061,64734.0679798072
"Other species","2",0.3,19709.681688312,21887.009404793,21675.176147707
"All species","2",0.4,149733.954841411,158184.986844393,168603.600260408
"Jack pine","2",0.4,39883.7296664805,40508.2726194734,45588.5216519995
"Trembling aspen","2",0.4,29357.0002498196,31916.9435948165,34492.2329468037
"Black spruce","2",0.4,58498.2653323092,59851.9676810098,64683.774227961
"Other species","2",0.4,19697.1059019291,21850.1143873369,21642.3731027424
"All species","2",0.5,149660.47481152,157946.634857925,168487.176283087
"Jack pine","2",0.5,39852.5181925675,40475.6720867104,45588.62137277
"Trembling aspen","2",0.5,29332.5683073265,31870.2142721751,34460.6003946095
"Black spruce","2",0.5,58476.7414255335,59778.7603875223,64635.6544232746
"Other species","2",0.5,19685.0054953949,21815.2268308719,21610.0874182297
"All species","2",0.6,149585.015588963,157711.384597712,168375.862931537
"Jack pine","2",0.6,39818.6257829553,40440.9147812959,45589.6606018343
"Trembling aspen","2",0.6,29307.9946240896,31823.6083595008,34429.0579181117
"Black spruce","2",0.6,58454.4508288263,59706.9635932395,64589.9653572259
"Other species","2",0.6,19673.9142028763,21783.2320099477,21578.6569476099
"All species","2",0.7,149509.354329781,157483.319252598,168270.324648929
"Jack pine","2",0.7,39782.366310421,40404.3707389499,45591.6371695044
"Trembling aspen","2",0.7,29284.2219628269,31777.9841018505,34397.80137202
"Black spruce","2",0.7,58431.7756390848,59638.1289671039,64546.9916615348
"Other species","2",0.7,19664.5343594021,21755.1124744219,21548.4741086322
"All species","2",0.8,149436.265835584,157267.798261357,168171.317175534
"Jack pine","2",0.8,39744.4120632288,40366.7534875067,45594.5427000267
"Trembling aspen","2",0.8,29262.7002872476,31734.5693188528,34367.0651094985
"Black spruce","2",0.8,58409.3654512705,59574.4141890604,64507.0541037401
"Other species","2",0.8,19657.768105658,21731.917602315,21519.9895683524
"All species","2",0.9,149369.848059988,157071.694144167,168079.705384081
"Jack pine","2",0.9,39705.929553679,40329.2307070451,45598.3646427041
"Trembling aspen","2",0.9,29245.5452286279,31695.055327688,34337.1279651528
"Black spruce","2",0.9,58388.2352326397,59518.7150000304,64470.5169506196
"Other species","2",0.9,19654.7418027606,21714.7215385721,21493.7159579995
"All species","2",1,149315.84416823,156903.545864168,167996.47868674
"Jack pine","2",1,39668.7133371109,40293.5245558185,45603.0892821928
"Trembling aspen","2",1,29235.6910218038,31661.6799079146,34308.3187988814
"Black spruce","2",1,58369.8677490336,59474.7474202266,64437.7921499989
"Other species","2",1,19656.8119779359,21704.5690835106,21470.2296505147
"All species","2",1.1,149281.871042356,156773.522487416,167922.758725097
"Jack pine","2",1.1,39635.2791358588,40261.9679232117,45608.7052847788
"Trembling aspen","2",1.1,29236.9869916009,31637.2606144229,34281.0205812525
"Black spruce","2",1.1,58356.2985039465,59447.0312557869,64409.338372699
"Other species","2",1.1,19665.5369516403,21702.4104154637,21450.1675554879
"All species","2",1.2,149277.429707121,156693.072837442,167859.793081028
"Jack pine","2",1.2,39608.8644896178,40237.4729527738,45615.206893382
"Trembling aspen","2",1.2,29254.1585201995,31625.1242958855,34255.6712211024
"Black spruce","2",1.2,58350.1510390875,59440.722895194,64385.653808837
"Other species","2",1.2,19682.5994736125,21709.0264407139,21434.2151940967
"All species","2",1.3,149313.572888557,156674.165955199,167808.929285372
"Jack pine","2",1.3,39593.2866413982,40223.3735785865,45622.5955481555
"Trembling aspen","2",1.3,29292.5421768489,31628.8816724482,34232.7587641159
"Black spruce","2",1.3,58354.5870810147,59461.2574885232,64367.2624758482
"Other species","2",1.3,19709.6762074158,21724.9498022916,21423.0829677587
"All species","2",1.4,149402.157874338,156728.12456075,167771.566084907
"Jack pine","2",1.4,39592.6316877534,40223.1310552406,45630.878759811
"Trembling aspen","2",1.4,29357.5362385839,31652.0300842834,34212.8088845969
"Black spruce","2",1.4,58373.1451969069,59513.7983683452,64354.6942656741
"Other species","2",1.4,19748.2669389101,21750.3927698657,21417.470039513
"All species","2",1.5,149554.715795811,156864.198142424,167749.083448301
"Jack pine","2",1.5,39610.7957097684,40239.9343845878,45640.0657292613
"Trembling aspen","2",1.5,29453.7971286256,31697.4302780042,34196.3639958929
"Black spruce","2",1.5,58409.4648641315,59602.5538963616,64348.4591849231
"Other species","2",1.5,19799.5108149542,21785.197876771,21418.0187750475
"All species","2",1.6,149781.093970507,157088.155343435,167742.757592383
"Jack pine","2",1.6,39650.9546388017,40276.269694284,45650.1603324226
"Trembling aspen","2",1.6,29584.3378673176,31766.7701092476,34183.9552027749
"Black spruce","2",1.6,58466.9249597112,59730.089523169,64349.0167421245
"Other species","2",1.6,19864.0230907957,21828.8256644291,21425.2655715303
"All species","2",1.7,150088.13070554,157401.232710022,167753.670641526
"Jack pine","2",1.7,39715.0816205679,40333.5556689181,45661.1530852797
"Trembling aspen","2",1.7,29749.7819099008,31860.1635160817,34176.0697096765
"Black spruce","2",1.7,58548.2556595265,59896.8030067632,64356.7425581249
"Other species","2",1.7,19941.7847363138,21880.3864655166,21439.5950937323
"All species","2",1.8,150478.653639527,157799.719727254,167782.625714178
"Jack pine","2",1.8,39803.634682089,40411.9336173191,45673.0140229628
"Trembling aspen","2",1.8,29948.0229154678,31976.0110436667,34173.1168114707
"Black spruce","2",1.8,58655.1983462361,60100.7134484252,64371.8957497442
"Other species","2",1.8,20032.1095684469,21938.7130218931,21461.2045293002
"All species","2",1.9,150951.028586889,158275.296989618,167830.077580628
"Jack pine","2",1.9,39915.4944319168,40510.2604907318,45685.6880042468
"Trembling aspen","2",1.9,30174.4174959147,32111.171064226,34175.3956961403
"Black spruce","2",1.9,58788.2818085462,60337.6345380352,64394.5916680923
"Other species","2",1.9,20133.6984686118,22002.4611552311,21490.0829173281
"All species","2",2,151499.344714712,158816.035138347,167896.087042427
"Jack pine","2",2,40048.1571501548,40626.2960842025,45699.0931666855
"Trembling aspen","2",2,30422.4511012766,32261.391928075,34183.0684666532
"Black spruce","2",2,58946.7560064287,60601.6886260401,64424.7844614096
"Other species","2",2,20244.7704275124,22070.2197434213,21526.008128725
"All species","2.1",0,149999.903027327,159013.371056139,169112.482438689
"Jack pine","2.1",0,39997.3535776692,40618.7648932129,45588.2566758018
"Trembling aspen","2.1",0,29491.4361102761,32088.2286809242,34620.2187701137
"Black spruce","2.1",0,58571.5407152847,60104.9979173603,64904.8234494673
"Other species","2.1",0,19748.0495505937,21993.4143551004,21775.521563906
"All species","2.1",0.1,149941.213135998,158786.86669921,168980.86364419
"Jack pine","2.1",0.1,39976.7045924489,40595.15777469,45584.3703597493
"Trembling aspen","2.1",0.1,29471.5469798335,32045.2518385123,34589.8582881989
"Black spruce","2.1",0.1,58554.204593222,60034.6394170422,64849.520728605
"Other species","2.1",0.1,19736.0509212533,21954.5377486958,21742.9273431245
"All species","2.1",0.2,149878.62858049,158555.676103729,168852.347221515
"Jack pine","2.1",0.2,39953.7833486811,40569.6292689403,45581.3800250727
"Trembling aspen","2.1",0.2,29450.4251240033,32001.189876003,34559.0768646483
"Black spruce","2.1",0.2,58535.8824248762,59963.0859165376,64795.7299162702
"Other species","2.1",0.2,19723.621940483,21915.767593,21710.1398801387
"All species","2.1",0.3,149812.153329242,158320.830900396,168727.37159435
"Jack pine","2.1",0.3,39928.3746906743,40541.9969824057,45579.3166429276
"Trembling aspen","2.1",0.3,29428.0993287672,31956.1220501506,34527.9692132233
"Black spruce","2.1",0.3,58516.5272352405,59890.657659037,64743.6657856782
"Other species","2.1",0.3,19710.9577571729,21877.600471925,21677.3378676905
"All species","2.1",0.4,149742.000126782,158083.899065175,168606.415647268
"Jack pine","2.1",0.4,39900.3059975788,40512.1299184061,45578.2037993114
"Trembling aspen","2.1",0.4,29404.702070166,31910.2410427325,34496.6473278253
"Black spruce","2.1",0.4,58496.1358924053,59817.8560933373,64693.5545433934
"Other species","2.1",0.4,19698.3374782612,21840.6684744747,21644.7485682359
"All species","2.1",0.5,149668.705773957,157847.098846105,168490.006257683
"Jack pine","2.1",0.5,39869.4896398245,40479.9917649875,45578.0575636773
"Trembling aspen","2.1",0.5,29380.5292206941,31863.8961403099,34465.2443561645
"Black spruce","2.1",0.5,58474.7804303827,59745.4260665016,64645.636790431
"Other species","2.1",0.5,19686.1477991486,21805.7341811368,21612.6487219135
"All species","2.1",0.6,149593.292928042,157613.45736416,168378.728063248
"Jack pine","2.1",0.6,39835.9856168147,40445.7020653928,45578.886345053
"Trembling aspen","2.1",0.6,29356.1223662378,31817.6475901098,34433.9191786279
"Black spruce","2.1",0.6,58452.6533405364,59674.4484834303,64600.172392171
"Other species","2.1",0.6,19674.9109689,21773.6776123571,21581.3660882535
"All species","2.1",0.7,149517.48823272,157387.019976335,168273.236398074
"Jack pine","2.1",0.7,39800.0890954496,40409.6172719348,45580.6910948587
"Trembling aspen","2.1",0.7,29332.3772232194,31772.3350313784,34402.8615851445
"Black spruce","2.1",0.7,58430.1300724518,59606.4634355061,64557.4471482362
"Other species","2.1",0.7,19665.3159634019,21745.4756186185,21551.2822291611
"All species","2.1",0.8,149443.99961809,157173.093367962,168174.273239765
"Jack pine","2.1",0.8,39762.44413427,40372.4298504479,45583.4662232951
"Trembling aspen","2.1",0.8,29310.6786205859,31729.1607610971,34372.2978794116
"Black spruce","2.1",0.8,58407.8501845893,59543.6105868551,64517.7803659471
"Other species","2.1",0.8,19658.2497555426,21722.1718503452,21522.8363777988
"All species","2.1",0.9,149376.837870045,156978.478883757,168082.684477599
"Jack pine","2.1",0.9,39724.1766509125,40335.2767942915,45587.2014659425
"Trembling aspen","2.1",0.9,29293.0547455263,31689.7818277044,34342.4966747973
"Black spruce","2.1",0.9,58386.814095665,59488.7594224877,64481.5316224215
"Other species","2.1",0.9,19654.822067115,21704.8352109512,21496.5294086054
"All species","2.1",1,149321.63578972,156811.623273329,167999.43507321
"Jack pine","2.1",1,39687.0259486301,40299.8382338584,45591.8846782505
"Trembling aspen","2.1",1,29282.3274048979,31656.3917262495,34313.7744367285
"Black spruce","2.1",1,58368.4844346809,59445.5899988783,64449.1045834285
"Other species","2.1",1,19656.3721208618,21694.5063503922,21472.9259730439
"All species","2.1",1.1,149285.876906212,156682.582623204,167925.61703869
"Jack pine","2.1",1.1,39653.4373811807,40268.3933389585,45597.5051631019
"Trembling aspen","2.1",1.1,29282.2100529789,31631.7541811491,34286.4998008147
"Black spruce","2.1",1.1,58354.870318305,59418.5761263249,64420.9460250959
"Other species","2.1",1.1,19664.4417682187,21692.133081125,21452.651797529
"All species","2.1",1.2,149278.911872802,156602.677715435,167862.444159136
"Jack pine","2.1",1.2,39626.5660109767,40243.7910807624,45604.0567022214
"Trembling aspen","2.1",1.2,29297.2781168116,31619.1364010647,34261.0949187554
"Black spruce","2.1",1.2,58348.5629359754,59412.8200156677,64397.5390166048
"Other species","2.1",1.2,19680.7004453696,21698.4964787138,21436.3824456438
"All species","2.1",1.3,149311.640049225,156583.747680407,167811.227831566
"Jack pine","2.1",1.3,39610.1423637975,40229.298643163,45611.5391165894
"Trembling aspen","2.1",1.3,29332.7245158699,31622.0919104308,34238.031511326
"Black spruce","2.1",1.3,58352.687502978,59433.6993922292,64379.3900238725
"Other species","2.1",1.3,19706.8176450323,21714.1325841381,21424.8204700063
"All species","2.1",1.4,149395.784911572,156637.004145208,167773.33092306
"Jack pine","2.1",1.4,39608.1745284818,40228.3165829112,45619.9572067761
"Trembling aspen","2.1",1.4,29393.8418338422,31644.075986242,34217.8195717613
"Black spruce","2.1",1.4,58370.7456174937,59486.3251472005,64367.0100994481
"Other species","2.1",1.4,19744.2952509701,21739.2607122352,21418.6603262906
"All species","2.1",1.5,149542.791726934,156771.629186528,167750.100896569
"Jack pine","2.1",1.5,39624.5054897382,40243.9912066146,45629.3165620541
"Trembling aspen","2.1",1.5,29485.2560446256,31687.9371715132,34200.9879915862
"Black spruce","2.1",1.5,58406.3447859961,59574.8686254412,64360.8904998393
"Other species","2.1",1.5,19794.2862312662,21773.7339926921,21418.5438754418
"All species","2.1",1.6,149762.497951753,156993.390215027,167742.788109405
"Jack pine","2.1",1.6,39662.2984401481,40278.7952508743,45639.6168274604
"Trembling aspen","2.1",1.6,29610.0558176508,31755.3930580527,34188.0581777438
"Black spruce","2.1",1.6,58462.8432543847,59701.8837688914,64361.4735415672
"Other species","2.1",1.6,19857.4323308245,21817.026380312,21425.0121204944
"All species","2.1",1.7,150061.8274532,157303.601122834,167752.458447747
"Jack pine","2.1",1.7,39723.5637761711,40334.1703819217,45650.8439956949
"Trembling aspen","2.1",1.7,29769.0563908238,31846.6333708622,34179.5130404993
"Black spruce","2.1",1.7,58542.9676152033,59867.7886671789,64369.1206155568
"Other species","2.1",1.7,19933.7525424166,21868.2631405404,21438.4599983521
"All species","2.1",1.8,150443.792248929,157698.704073225,167779.910663086
"Jack pine","2.1",1.8,39808.8466372978,40410.3174107409,45662.9635994153
"Trembling aspen","2.1",1.8,29960.4398301928,31960.1734297526,34175.7642229696
"Black spruce","2.1",1.8,58648.4760733299,60070.6544258655,64384.0807538946
"Other species","2.1",1.8,20022.6069675726,21926.2918581865,21459.1006803045
"All species","2.1",1.9,150907.025679358,158170.588333825,167825.608230788
"Jack pine","2.1",1.9,39917.1539387123,40506.1820585491,45675.916259956
"Trembling aspen","2.1",1.9,30179.9021713664,32093.0081848164,34177.1205838151
"Black spruce","2.1",1.9,58779.9344241805,60306.3711598577,64406.4641937903
"Other species","2.1",1.9,20122.7461919922,21989.7815267957,21486.9443667876
"All species","2.1",2,151445.935923757,158707.558995489,167889.633716668
"Jack pine","2.1",2,40046.1292088193,40619.6295295495,45689.6162798287
"Trembling aspen","2.1",2,30421.2625525851,32241.0222330618,34183.7611982129
"Black spruce","2.1",2,58936.6458484695,60569.1498031347,64436.2253157855
"Other species","2.1",2,20232.4369686512,22057.3312891686,21521.7941927374
"All species","2.2",0,150011.723278568,158912.331754848,169116.066167262
"Jack pine","2.2",0,40013.414753642,40622.0234978941,45579.3984969485
"Trembling aspen","2.2",0,29538.3386728123,32081.2456880766,34623.6806490016
"Black spruce","2.2",0,58569.933292263,60070.1274864888,64914.0171618801
"Other species","2.2",0,19750.0732096171,21984.4643781036,21777.0838403196
"All species","2.2",0.1,149953.499561913,158687.050037506,168984.34441212
"Jack pine","2.2",0.1,39993.1061180196,40598.8045021824,45575.1511950961
"Trembling aspen","2.2",0.1,29518.8318584414,32038.6804911653,34593.5676886062
"Black spruce","2.2",0.1,58552.7595127739,60000.3559389124,64858.8611021645
"Other species","2.2",0.1,19738.1183708246,21945.5681797639,21744.7373392289
"All species","2.2",0.2,149891.350183067,158457.196371248,168855.744641263
"Jack pine","2.2",0.2,39970.5433829632,40573.6838832836,45571.8181334347
"Trembling aspen","2.2",0.2,29498.0847431396,31995.0382872793,34563.0329992078
"Black spruce","2.2",0.2,58534.6043591416,59929.4415734504,64805.2204367901
"Other species","2.2",0.2,19725.71395256,21906.7795281309,21712.1957398881
"All species","2.2",0.3,149825.263667862,158223.797099158,168730.708661954
"Jack pine","2.2",0.3,39945.5097818376,40546.4790335678,45569.4346845875
"Trembling aspen","2.2",0.3,29476.1162610786,31950.393776448,34532.1695383924
"Black spruce","2.2",0.3,58515.4201342205,59857.7049903056,64753.3144297337
"Other species","2.2",0.3,19713.0486799097,21868.5921623464,21679.6307562098
"All species","2.2",0.4,149755.432066438,157988.409123544,168609.716740261
"Jack pine","2.2",0.4,39917.8290395037,40517.0571459034,45568.0284798251
"Trembling aspen","2.2",0.4,29453.0440871964,31904.9328620673,34501.0870758259
"Black spruce","2.2",0.4,58495.2022832906,59785.646277934,64703.3739476684
"Other species","2.2",0.4,19700.3937693052,21831.6343743452,21647.2616254161
"All species","2.2",0.5,149682.364416856,157753.232123366,168493.294735335
"Jack pine","2.2",0.5,39887.4067374701,40485.3776030866,45567.6193518687
"Trembling aspen","2.2",0.5,29429.1422472759,31858.9951082042,34469.9157783955
"Black spruce","2.2",0.5,58474.02032223,59714.006353863,64655.6439259217
"Other species","2.2",0.5,19688.1263548742,21796.6639998553,21615.3560684267
"All species","2.2",0.6,149607.046098882,157521.265090164,168382.023332795
"Jack pine","2.2",0.6,39854.2914043234,40451.5518897952,45568.2192510864
"Trembling aspen","2.2",0.6,29404.9206345677,31813.1270997597,34438.8104340974
"Black spruce","2.2",0.6,58452.0625634624,59643.8585599139,64610.3876123349
"Other species","2.2",0.6,19676.7572766696,21764.5555209494,21584.2319157828
"All species","2.2",0.7,149531.153781156,157296.513053576,168276.550320085
"Jack pine","2.2",0.7,39818.7599664545,40415.9229870728,45569.8324579836
"Trembling aspen","2.2",0.7,29381.2298595687,31768.1495200882,34407.9552504121
"Black spruce","2.2",0.7,58429.6978440946,59576.7304340392,64567.8925239595
"Other species","2.2",0.7,19666.9621431306,21736.279753563,21554.2600120754
"All species","2.2",0.8,149457.32886778,157084.226924642,168177.605818315
"Jack pine","2.2",0.8,39781.4288764653,40379.1624728287,45572.4564342319
"Trembling aspen","2.2",0.8,29359.3920377875,31725.2387102746,34377.5691178186
"Black spruce","2.2",0.8,58407.5556898261,59514.7424391862,64528.4772960109
"Other species","2.2",0.8,19659.6126280663,21712.8742382758,21525.8682553214
"All species","2.2",0.9,149389.495021981,156891.133405059,168086.018913855
"Jack pine","2.2",0.9,39743.3842742625,40342.3769259034,45576.0835419593
"Trembling aspen","2.2",0.9,29341.3508152591,31686.016944543,34347.911168686
"Black spruce","2.2",0.9,58386.6219302485,59460.736453227,64492.4978113412
"Other species","2.2",0.9,19655.8015163095,21695.4022242633,21499.5458071441
"All species","2.2",1,149333.174274084,156725.583311344,168002.732444903
"Jack pine","2.2",1,39706.3112276365,40307.2048524427,45580.7036262113
"Trembling aspen","2.2",1,29329.8188090113,31652.6328472176,34319.2862471123
"Black spruce","2.2",1,58368.3389562093,59418.355158146,64460.350596141
"Other species","2.2",1,19656.8502174038,21684.8997988961,21475.8455696492
"All species","2.2",1.1,149295.715731431,156597.516088122,167928.811084534
"Jack pine","2.2",1.1,39672.5858774611,40275.8722440479,45586.3071084224
"Trembling aspen","2.2",1.1,29328.3767559737,31627.7956013131,34292.0493752811
"Black spruce","2.2",1.1,58354.689314554,59392.0250688623,64432.4717375209
"Other species","2.2",1.1,19664.283354935,21682.3120391355,21455.3819658474
"All species","2.2",1.2,149286.317665337,156518.121252854,167865.436850074
"Jack pine","2.2",1.2,39645.2819300639,40251.1655234509,45592.8878197399
"Trembling aspen","2.2",1.2,29341.4523731407,31614.7118483376,34266.6075265705
"Black spruce","2.2",1.2,58348.2315504647,59386.7932380738,64409.3303547492
"Other species","2.2",1.2,19679.7560216564,21688.4199104255,21438.8203641928
"All species","2.2",1.3,149315.722787384,156499.105611221,167813.886533413
"Jack pine","2.2",1.3,39628.0439665713,40236.2856838155,45600.4444545718
"Trembling aspen","2.2",1.3,29374.0950128722,31616.8766381126,34243.4164417857
"Black spruce","2.2",1.3,58352.0539323201,59407.9794966755,64391.4163994311
"Other species","2.2",1.3,19704.929252206,21703.7627078521,21426.8550857411
"All species","2.2",1.4,149395.515900351,156551.568350112,167775.487935836
"Jack pine","2.2",1.4,39624.8020658317,40234.5728405526,45608.9795302598
"Trembling aspen","2.2",1.4,29431.4880283167,31637.7014128696,34222.9704612299
"Black spruce","2.2",1.4,58369.6204711209,59460.6424490927,64379.2229004088
"Other species","2.2",1.4,19741.3055480839,21728.5668161275,21420.1753256887
"All species","2.2",1.5,149537.049816185,156684.623933521,167751.555961783
"Jack pine","2.2",1.5,39639.344915025,40249.1302845079,45618.4953479908
"Trembling aspen","2.2",1.5,29518.2187082959,31680.0201887998,34205.7846029888
"Black spruce","2.2",1.5,58404.5058696444,59548.9171935313,64373.2228913431
"Other species","2.2",1.5,19790.0501493524,21762.6961649014,21419.4217040296
"All species","2.2",1.6,149750.143997825,156904.039396413,167743.314127206
"Jack pine","2.2",1.6,39674.82033089,40282.4162628547,45628.9875216446
"Trembling aspen","2.2",1.6,29637.4385261342,31745.5775578158,34192.3698154293
"Black spruce","2.2",1.6,58460.0466918272,59675.347418815,64373.84169377
"Other species","2.2",1.6,19851.8298487565,21805.6384870628,21425.1389195528
"All species","2.2",1.7,150041.798861542,157211.207724821,167751.810206671
"Jack pine","2.2",1.7,39733.2720139647,40335.8935363965,45640.4375954043
"Trembling aspen","2.2",1.7,29790.1388284909,31834.6362933984,34183.2035599441
"Black spruce","2.2",1.7,58538.9647288448,59840.3730862549,64381.426319596
"Other species","2.2",1.7,19926.7005286501,21856.5344637726,21437.7311328368
"All species","2.2",1.8,150415.202043234,157602.726258345,167777.835948544
"Jack pine","2.2",1.8,39815.3275043696,40409.8199775056,45652.8065654432
"Trembling aspen","2.2",1.8,29974.7747836899,31945.8243777303,34178.6983426029
"Black spruce","2.2",1.8,58643.0337432414,60042.1189336533,64396.2152306864
"Other species","2.2",1.8,20014.067929787,21914.2470670057,21457.42637039
"All species","2.2",1.9,150869.24727241,158070.696115388,167821.860333682
"Jack pine","2.2",1.9,39920.1153782453,40503.2275133604,45666.0307015143
"Trembling aspen","2.2",1.9,30187.3703861255,32076.2724971557,34179.1709831691
"Black spruce","2.2",1.9,58772.855405744,60276.5530799954,64418.312763581
"Other species","2.2",1.9,20112.7322933837,21977.4590104067,21484.254857474
"All species","2.2",2,151398.657467691,158603.660652332,167883.984173702
"Jack pine","2.2",2,40045.4226805185,40614.0845555064,45680.0203114538
"Trembling aspen","2.2",2,30422.0731826776,32222.00232422,34184.8157321391
"Black spruce","2.2",2,58927.7853161239,60537.9765056831,64447.6725018282
"Other species","2.2",2,20221.0086890985,22044.7802073167,21518.0439246244
"All species","2.3",0,150028.534748057,158816.480062278,169120.210588836
"Jack pine","2.3",0,40030.3453921395,40626.2960046465,45570.7393386485
"Trembling aspen","2.3",0,29585.7316358458,32075.5155605532,34627.1561245183
"Black spruce","2.3",0,58569.4639250796,60037.0717980411,64923.2801199897
"Other species","2.3",0,19752.8523579832,21975.8774798454,21778.7628514235
"All species","2.3",0.1,149970.794323902,158592.495704214,168988.37413369
"Jack pine","2.3",0.1,40010.3729769485,40603.460994074,45566.1228771563
"Trembling aspen","2.3",0.1,29566.6042588034,32033.3794686417,34597.2922629064
"Black spruce","2.3",0.1,58552.4547031037,59967.9021953016,64868.2672893955
"Other species","2.3",0.1,19740.9466098211,21936.9729482688,21746.6648420001
"All species","2.3",0.2,149909.101377501,158364.052839101,168859.675046961
"Jack pine","2.3",0.2,39988.1649818588,40578.7440255211,45562.436706423
"Trembling aspen","2.3",0.2,29546.2310202821,31990.1752408474,34567.0060393748
"Black spruce","2.3",0.2,58534.4692298364,59897.6414956291,64814.771107356
"Other species","2.3",0.2,19728.5732366916,21898.1770558393,21714.3712880155
"All species","2.3",0.3,149843.429649873,158132.171846343,168734.558826689
"Jack pine","2.3",0.3,39963.5031791873,40551.9623223899,45559.7207508175
"Trembling aspen","2.3",0.3,29524.6216629305,31945.9730831806,34536.3885627532
"Black spruce","2.3",0.3,58515.4591527733,59826.6104345114,64763.0150651477
