"Species","sizeWeight","disWeight","HAIC","IntraHAIC","InterHAIC"
"Other species","0",0.9,19912.1907968711,22017.5508540304,21507.4635067615
"All species","0",1,150985.646263516,160159.77543423,168037.807231571
"Jack pine","0",1,39712.8884497807,40537.4469424419,45813.4114471022
"Trembling aspen","0",1,28884.3184848222,32203.4096330476,34231.5186320272
"Black spruce","0",1,58746.6492050047,60508.3876526537,64200.8317966819
"Other species","0",1,19928.321733556,22012.9112837423,21492.4112730167
"All species","0",1.1,151007.119666584,160014.805235082,167976.868115552
"Jack pine","0",1.1,39684.9208132149,40502.5971524592,45815.8724751293
"Trembling aspen","0",1.1,28932.3541284535,32187.0053377712,34209.6488857451
"Black spruce","0",1.1,58737.6996853342,60465.2737132581,64167.2010390504
"Other species","0",1.1,19953.26172908,22016.4294016193,21483.035306746
"All species","0",1.2,151070.484363371,159920.625979709,167932.139273155
"Jack pine","0",1.2,39670.1073156007,40478.6543940676,45818.7043044512
"Trembling aspen","0",1.2,29011.3007783453,32185.74531795,34192.2617444496
"Black spruce","0",1.2,58738.2188249033,60444.1506489517,64140.0519138163
"Other species","0",1.2,19988.6099375947,22028.7897938003,21480.0807438271
"All species","0",1.3,151188.051988821,159890.712648157,167905.451027865
"Jack pine","0",1.3,39673.8192958763,40470.2001110985,45821.9674464646
"Trembling aspen","0",1.3,29128.0202608885,32203.7120992804,34180.0476905706
"Black spruce","0",1.3,58751.8285432089,60451.3554462898,64120.3140033484
"Other species","0",1.3,20035.8072077205,22050.3891272258,21484.2305935319
"All species","0",1.4,151372.260797254,159937.846111663,167898.468209721
"Jack pine","0",1.4,39701.3899967347,40481.7981548224,45825.7281053567
"Trembling aspen","0",1.4,29287.9630164989,32244.586485803,34173.6425492336
"Black spruce","0",1.4,58782.4844695453,60492.9960402461,64108.8696108476
"Other species","0",1.4,20095.9404505418,22081.2622082452,21496.0502093326
"All species","0",1.5,151634.12624165,160072.306173693,167912.579026732
"Jack pine","0",1.5,39757.2996111465,40517.3308347555,45830.052889408
"Trembling aspen","0",1.5,29493.738834172,32310.920780961,34173.5833885284
"Black spruce","0",1.5,58834.1071785763,60574.0837123363,64106.499554719
"Other species","0",1.5,20169.5565439136,22121.0382161771,21515.927554344
"All species","0",1.6,151981.554938482,160300.075814776,167948.785419618
"Jack pine","0",1.6,39844.3471568067,40579.3273992416,45835.0017642351
"Trembling aspen","0",1.6,29744.0056765931,32403.4661941525,34180.2621707581
"Black spruce","0",1.6,58910.1220449125,60697.6406206225,64113.8288868983
"Other species","0",1.6,20256.5278028186,22168.9434796303,21544.0194836363
"All species","0",1.7,152417.924597719,160621.537420919,168007.608615876
"Jack pine","0",1.7,39963.0503293513,40668.4716252083,45840.6203646442
"Trembling aspen","0",1.7,30033.15744778,32520.7890643884,34193.8834129485
"Black spruce","0",1.7,59012.9966887249,60864.0190719085,64131.2773589744
"Other species","0",1.7,20356.0021047073,22223.8564209017,21580.2146700303
"All species","0",1.8,152941.312627739,161031.059414054,168089.022851771
"Jack pine","0",1.8,40111.467717479,40783.4373159972,45846.9330924127
"Trembling aspen","0",1.8,30352.0108815687,32659.3381460354,34214.4320663913
"Black spruce","0",1.8,59143.8803557517,61070.647966612,64159.0203843776
"Other species","0",1.8,20466.453223606,22284.4069465364,21624.1213598624
"All species","0",1.9,153544.582786817,161517.616564236,168192.427240059
"Jack pine","0",1.9,40285.4977646934,40921.0965823527,45853.938229412
"Trembling aspen","0",1.9,30689.2729734365,32813.9625840292,34241.6565431943
"Black spruce","0",1.9,59302.428578927,61312.3017286234,64196.9663008126
"Other species","0",1.9,20585.8239153121,22349.1013474149,21675.0837123207
"All species","0",2,154216.28268044,162066.265497061,168316.661064828
"Jack pine","0",2,40479.5455331429,41077.0245179094,45861.6057615006
"Trembling aspen","0",2,31033.280207193,32978.7134348899,34275.0702487558
"Black spruce","0",2,59486.845629349,61581.8167993731,64244.7541707973
"Other species","0",2,20711.7322411842,22416.4483880457,21732.2251258699
"All species","0.1",0,151322.481571573,162227.286042301,169156.850079545
"Jack pine","0.1",0,40045.7294710707,40901.7268886985,45791.6268485691
"Trembling aspen","0.1",0,28995.984191054,32577.6032274735,34561.9262927997
"Black spruce","0.1",0,58915.7720898504,61207.3952701814,64735.3758421044
"Other species","0.1",0,19930.0646085513,22249.9486870684,21780.3980777686
"All species","0.1",0.1,151262.409555414,161999.073938563,169022.445155375
"Jack pine","0.1",0.1,40018.3480427133,40870.5981824362,45791.8453925219
"Trembling aspen","0.1",0.1,28970.5341899415,32533.4114512814,34527.2618819505
