"Group","importance","importanceLower","importanceUpper","Species_Climate"
"Competition+Climate",0.18347977546073,0.0544857736427961,0.898406277712441,"Black spruce_ATA"
"Ontogeny",49.8838330689583,44.5445982326056,52.9516885783805,"Black spruce_GSTA"
"Competition",45.9995884629621,40.7065816242151,50.0212319427281,"Black spruce_GSTA"
"Ontogeny+Competition",3.35469171805605,1.64410482427828,9.28073574638862,"Black spruce_GSTA"
"Competition+Climate",0.149868554993883,0.0677335268525815,0.717301993136485,"Black spruce_GSTA"
"Climate",0.509671574344194,0.164995422164686,0.978205531539017,"Black spruce_GSTA"
"Ontogeny+Climate",0.102346620685514,0.043463117391047,0.406263144370367,"Black spruce_GSTA"
"Ontogeny",49.6512204231234,43.6886037696693,53.1949298580677,"Black spruce_NONGSTA"
"Competition",45.450398584212,39.7186313086924,49.3584713947533,"Black spruce_NONGSTA"
"Ontogeny+Competition",3.2985442206193,1.66310971969963,9.20675453856481,"Black spruce_NONGSTA"
"Competition+Climate",0.800650836629068,0.144075289564776,2.71669899233495,"Black spruce_NONGSTA"
"Climate",0.325759352125503,0.0576223725404103,1.03154023721372,"Black spruce_NONGSTA"
"Ontogeny+Climate",0.473426583290665,0.1357189850309,1.94298617166808,"Black spruce_NONGSTA"
"Ontogeny",50.0689210912458,44.4501970389492,53.1473545688373,"Black spruce_ACMIA"
"Competition",45.9817931849693,40.5699093275599,49.81993855998,"Black spruce_ACMIA"
"Ontogeny+Competition",3.3332676324207,1.59464540874409,9.36917896768629,"Black spruce_ACMIA"
"Climate",0.0324501974303728,0.0176688286839097,0.312043840822971,"Black spruce_ACMIA"
"Competition+Climate",0.58356789393389,0.0477270596914803,1.92249377212343,"Black spruce_ACMIA"
"Ontogeny",49.8206700561174,44.1420216274291,53.0153565710712,"Black spruce_GSCMIA"
"Competition",45.6457413541343,40.4296136870531,49.5550716605943,"Black spruce_GSCMIA"
"Ontogeny+Competition",3.32277444861955,1.60558284482534,9.22563232181154,"Black spruce_GSCMIA"
"Competition+Climate",1.2108141411288,0.220682645481404,3.36382967929277,"Black spruce_GSCMIA"
"Ontogeny",46.2445946506416,38.9234012334876,50.5066332472618,"Black spruce_ACO2A"
"Competition",41.9626212621228,35.8492453421528,46.6178506407111,"Black spruce_ACO2A"
"Ontogeny+Climate",3.73469154369948,1.33964764635431,7.57193465749934,"Black spruce_ACO2A"
"Ontogeny+Competition",3.18429069649565,1.58071358959178,9.11938034342646,"Black spruce_ACO2A"
"Competition+Climate",4.87380184704049,2.16834136341444,8.66693395151414,"Black spruce_ACO2A"
"Ontogeny",47.3728621449671,42.5770258315083,49.4688687070699,"Other species_ATA"
"Competition",46.1688032343967,41.8262869698683,47.2205280922554,"Other species_ATA"
"Ontogeny+Climate",0.244850262135824,0.118772729857352,4.2679084900276,"Other species_ATA"
"Ontogeny+Competition",5.94547942261869,3.57416521138086,12.3110936366281,"Other species_ATA"
"Climate",0.26800493588165,0.0805730143965992,2.32423879125638,"Other species_ATA"
"Ontogeny",47.4553552545164,43.4649939539005,49.8660793335403,"Other species_GSTA"
"Competition",46.2220283484783,42.3377318862546,47.7339028413084,"Other species_GSTA"
"Ontogeny+Competition",5.92076283743553,3.64043877282349,12.1885220278843,"Other species_GSTA"
"Climate",0.16817914105696,0.0855839067741725,0.549715356979993,"Other species_GSTA"
"Ontogeny+Climate",0.233674418512736,0.0552061668586011,0.880123407037403,"Other species_GSTA"
"Ontogeny",47.4284937359977,42.8351088806118,49.5228837744697,"Other species_NONGSTA"
"Competition",46.2454124670331,42.1942060082076,47.5549357331021,"Other species_NONGSTA"
"Ontogeny+Competition",6.03978044595767,3.63199107502217,12.0304515925439,"Other species_NONGSTA"
"Climate",0.269205866342625,0.060595661853814,2.78273189871343,"Other species_NONGSTA"
"Ontogeny+Climate",0.0171074846689622,0.0228347252050998,2.38505644876972,"Other species_NONGSTA"
"Ontogeny",47.3985431410729,43.0300305947139,50.1642152103039,"Other species_ACMIA"
"Competition",46.2647548427234,41.9958827698227,48.0497398772829,"Other species_ACMIA"
"Ontogeny+Competition",6.0741467451856,3.61738706515309,12.3434197175366,"Other species_ACMIA"
