"Species","sizeIndex","disweight","IntraHAIC","InterHAIC"
"TA","Biomass",1.4,26431.9342181949,30763.7085008712
"BS","Biomass",1.4,45197.6652846986,53557.9533583436
"Other","Biomass",1.4,20967.2334055612,20252.0154870051
"All","Biomass",1.5,146590.205217948,163095.465360391
"JP","Biomass",1.5,35497.3918540332,46288.9273167161
"TA","Biomass",1.5,26992.8031745644,30914.6814865345
"BS","Biomass",1.5,45619.0033751149,54113.8205180575
"Other","Biomass",1.5,21119.6649277294,20374.6131892979
"All","Biomass",1.6,147299.023855053,163634.511043258
"JP","Biomass",1.6,35916.8310683322,46446.1430895706
"TA","Biomass",1.6,27604.986514018,31080.2231329353
"BS","Biomass",1.6,46157.6099516814,54702.0582776737
"Other","Biomass",1.6,21296.6252340535,20516.0101231283
"All","Biomass",1.7,148251.819910854,164226.484496055
"JP","Biomass",1.7,36428.5282868107,46607.5931975177
"TA","Biomass",1.7,28246.4167202729,31258.7021519421
"BS","Biomass",1.7,46806.4893022175,55313.2084239271
"Other","Biomass",1.7,21494.3760107203,20674.9687143897
"All","Biomass",1.8,149421.68165299,164866.893117974
"JP","Biomass",1.8,37014.0691780254,46771.7598495524
"TA","Biomass",1.8,28893.6893321031,31447.9634021163
"BS","Biomass",1.8,47550.7011052485,55937.3567767375
"Other","Biomass",1.8,21708.4196714018,20849.6551227025
"All","Biomass",1.9,150768.995818562,165549.532324388
"JP","Biomass",1.9,37650.1905583559,46936.8977034728
"TA","Biomass",1.9,29525.4361442645,31645.4319107871
"BS","Biomass",1.9,48369.3511477101,56564.7392401985
"Other","Biomass",1.9,21933.8545151184,21037.7367063751
"All","Biomass",2,152246.629858116,166266.812721481
"JP","Biomass",2,38312.5149887826,47101.1334595265
"TA","Biomass",2,30124.6822157586,31848.2584380204
"BS","Biomass",2,49238.4055889841,57186.2977628244
"Other","Biomass",2,22165.7502629369,21236.5270243488
